soft_skill_id,student_id,communication,teamwork,presentation,leadership,critical_thinking,interpersonal_skills
1,1,83,62,85,66,57,86
2,2,93,94,85,73,67,76
3,3,81,46,73,42,79,78
4,4,97,73,70,98,41,68
5,5,51,68,55,92,61,88
6,6,47,81,51,43,58,57
7,7,50,77,90,88,92,96
8,8,88,41,50,65,62,51
9,9,56,67,51,82,62,66
10,10,97,52,78,65,73,100
11,11,53,47,94,57,98,96
12,12,96,46,89,61,85,52
13,13,91,56,53,57,42,82
14,14,75,99,66,68,99,88
15,15,96,88,69,96,48,63
16,16,81,43,52,48,75,83
17,17,70,41,45,56,43,98
18,18,51,40,61,81,93,57
19,19,44,60,86,42,61,88
20,20,45,42,49,76,41,85
21,21,84,60,42,78,73,49
22,22,83,75,72,51,93,46
23,23,60,76,67,67,46,94
24,24,64,86,66,68,55,75
25,25,51,79,61,52,100,92
26,26,87,70,90,46,42,83
27,27,62,60,97,73,90,87
28,28,58,61,95,94,84,98
29,29,97,44,80,49,59,62
30,30,46,65,51,68,40,62
31,31,45,89,100,81,48,75
32,32,75,93,100,92,79,92
33,33,80,42,100,61,95,88
34,34,64,73,62,83,65,61
35,35,60,71,86,40,42,96
36,36,64,85,72,57,89,80
37,37,76,75,65,76,97,49
38,38,94,54,61,62,42,60
39,39,79,52,81,51,77,64
40,40,73,96,58,55,54,85
41,41,66,93,79,85,88,56
42,42,44,89,92,67,84,67
43,43,78,51,62,65,57,81
44,44,90,90,54,89,85,52
45,45,53,79,64,88,50,60
46,46,80,44,44,94,98,64
47,47,70,89,72,79,81,55
48,48,71,94,55,49,73,79
49,49,93,75,52,79,40,43
50,50,80,60,49,47,69,54
51,51,98,82,71,79,97,95
52,52,47,99,61,82,58,88
53,53,55,51,56,52,67,90
54,54,41,89,42,44,61,50
55,55,74,53,58,73,95,65
56,56,46,50,96,43,81,76
57,57,95,62,47,92,81,62
58,58,99,45,95,67,40,55
59,59,54,63,77,50,85,78
60,60,99,73,69,59,47,43
61,61,79,48,43,88,70,82
62,62,65,58,49,90,85,85
63,63,59,48,69,71,49,90
64,64,53,48,56,49,42,70
65,65,57,57,57,88,53,62
66,66,97,74,71,83,72,57
67,67,77,41,80,91,97,70
68,68,68,60,44,52,49,79
69,69,48,83,75,97,40,44
70,70,83,97,68,79,92,44
71,71,94,70,84,65,92,59
72,72,58,92,88,83,49,84
73,73,53,84,95,90,56,69
74,74,64,66,57,88,73,91
75,75,48,70,78,98,83,95
76,76,76,69,73,93,56,55
77,77,67,91,47,94,83,56
78,78,87,84,66,54,87,60
79,79,64,74,53,100,76,55
80,80,52,77,41,97,72,52
81,81,59,45,77,63,55,69
82,82,48,49,74,46,65,97
83,83,58,59,61,87,91,50
84,84,83,72,45,75,92,85
85,85,89,54,63,47,79,40
86,86,75,82,84,62,63,49
87,87,50,55,50,41,72,95
88,88,52,54,77,83,64,67
89,89,96,70,95,67,75,70
90,90,74,79,47,56,40,56
91,91,62,60,51,55,95,94
92,92,62,59,73,89,46,72
93,93,73,49,98,48,84,60
94,94,82,74,87,63,93,92
95,95,67,53,100,70,87,92
96,96,69,49,59,86,79,92
97,97,75,57,98,73,90,44
98,98,81,81,100,48,46,65
99,99,41,57,88,97,75,58
100,100,80,42,91,75,45,73
101,101,100,95,71,89,52,66
102,102,45,54,42,61,75,71
103,103,47,72,81,60,88,58
104,104,76,85,97,69,99,88
105,105,85,97,60,50,51,67
106,106,46,71,60,48,59,72
107,107,56,63,74,57,43,48
108,108,52,82,42,75,79,92
109,109,44,82,100,86,75,87
110,110,70,62,71,75,40,64
111,111,78,84,52,77,95,93
112,112,51,94,51,77,90,93
113,113,73,60,58,76,42,49
114,114,43,72,86,75,44,84
115,115,55,55,55,71,40,64
116,116,66,72,90,95,51,84
117,117,90,68,75,57,63,42
118,118,72,76,87,68,88,82
119,119,40,56,62,58,65,59
120,120,73,81,47,69,99,80
